COMMODITY,COMMODITY_DESCRIPTION,EXTENDED_DESCRIPTION,QUANTITY,UNIT_OF_MEASURE,UNIT_OF_MEAS_DESC,UNIT_PRICE,ITM_TOT_AM,MASTER_AGREEMENT,CONTRACT_NAME,PURCHASE_ORDER,AWARD_DATE,VENDOR_CODE,LGL_NM,AD_LN_1,AD_LN_2,CITY,ST,ZIP,CTRY,DATA_BUILD_DATE
33518,Anhydrous Ammonia,"Anhydrous Ammonia @ $0.93 PER LB  Davis for the months of JAN, FEB, MAR 2025   Email invoices to: Admin.Davis@austintexas.gov  Chemical delivery notice to be emailed a minimum of 4 hours prior to delivery to: DavisCDN@cityofaustin.onmicrosoft.com",0.,,,0.,"22,604.58",MA2200GA240000067,SHRIEVE - DAVIS - AMMONIA - Q2 2025,DO220025010204878,01/02/2025,V00000936846,"Shrieve Chemical Company, LLC",1442 Lake Front Cir,,The Woodlands,TX,77380,US,04/06/2026
19085,Sodium Phosphates and Polyphosphates,"Sodium Phosphates and Polyphosphates @ $11.0682 PER GAL  Davis WTP for the months of JAN, FEB, MAR 2025  Email invoices to: Admin.Davis@austintexas.gov  Chemical delivery notice to be emailed a minimum of 4 hours prior to delivery to: DavisCDN@cityofaustin.onmicrosoft.com","7,707.6923",GAL,Gallon,11.0682,"85,310.28",MA2200GA230000051,CONDY - DAVIS - SODIUM HEX - Q2 2025,DO220025010204875,01/02/2025,V00000968540,Condy Holdings LLC,315 Fifth Street,,Peru,IL,61354,US,04/06/2026
20811,"Application Software, Microcomputer",DocuSign Enterprise Pro Edition - Seat Subscription,35.,EA,Each,855.1,"29,928.50",MA5600NC230000048,Renewal for Docusign Licenses- Year3 of 3,DO560024121704499,01/02/2025,CAR8317206,CARAHSOFT TECHNOLOGY CORP,11493 SUNSET HILLS ROAD,SUITE 100,Reston,VA,20190,US,04/06/2026
8408427,"CAMERA, VIDEO, INCLUDING PARTS AND ACCESSORIES",EDELKRONE FOCUS/ZOOM MODULE V1 f/HEADPLUS/PRO V2/REG- re: R201202-OMNIA,1.,EA,Each,377.24,377.24,,Edelkrone HeadPlus bundle (camera mount),PO870025010200609,01/02/2025,BHP6052500,B & H FOTO & ELECTRONICS CORP,420 9TH AVE,,NEW YORK,NY,10001-2404,US,04/06/2026
40502303004,E10 - ETHANOL,,0.,,,0.,"60,791.64",MA7800GA240000081,Bulk Fuels - Pinnacle - Weekly DO,DO780025010204887,01/02/2025,V00000905922,Pinnacle Petroleum Incorporated,16651 Gemini Lane,,Huntington Beach,CA,92647,US,04/06/2026
3301366,"RAILS, CHAIN LINK FENCE",AACHF monthly re-rental of temp. fence,0.,,,0.,"1,125.00",,AACHF monthly re-rental of temp. fence,PO850023072002083,01/02/2025,CON7015765,CONSTRUCTION RENT-A-FENCE INC,PO BOX 65,,Thrall,TX,76578,US,04/06/2026
8857060,"POLYMER, WASTE WATER, METALS REMOVAL","40% Cationic Polymer Coagulant-Davis WTP-Bulk  Clarifloc C-318 @ $1.18 per LB.  Davis for the months of JAN, FEB, MAR 2025   Email invoices to: Admin.Davis@austintexas.gov  Chemical Delivery notice to be emailed a minimum of 4 hours prior to delivery to: DavisCDN@cityofaustin.onmicrosoft.com","44,680.",LB,Pound,1.18,"52,722.40",MA2200GA220000021,POLYDYNE - DAVIS - POLYMER - Q2 2025,DO220025010204883,01/02/2025,POL7108095,POLYDYNE INC,PO BOX 279,,RICEBORO,GA,31323-0279,US,04/06/2026
4309229,CARBON DIOXIDE (CO2) INDUSTRIAL GAS,"CARBON DIOXIDE (CO2) INDUSTRIAL GAS @ $190.00 PER TON  Davis for the months of JAN, FEB, MAR 2025  Email invoices to: Admin.Davis@austintexas.gov  Chemical delivery notice to be emailed a minimum of 4 hours prior to delivery to: DavisCDN@cityofaustin.onmicrosoft.com",253.868,TON,Ton,190.,"48,234.92",MA2200GA240000016,LINDE - DAVIS - CO2 - Q2 2025,DO220025010204876,01/02/2025,V00000913969,Linde Inc.,7000 High Grove Blvd.,,Burr Ridge,IL,60527,US,04/06/2026
8408427,"CAMERA, VIDEO, INCLUDING PARTS AND ACCESSORIES",EDELKRONE SONY NP-F BATTERY BRACKET/REG - re: R201202-OMNIA,1.,EA,Each,33.26,33.26,,Edelkrone HeadPlus bundle (camera mount),PO870025010200609,01/02/2025,BHP6052500,B & H FOTO & ELECTRONICS CORP,420 9TH AVE,,NEW YORK,NY,10001-2404,US,04/06/2026
4050935,DIESEL FUEL (MOTOR FUEL),,0.,,,0.,"96,533.30",MA7800GA240000081,Bulk Fuels - Pinnacle - Weekly DO,DO780025010204887,01/02/2025,V00000905922,Pinnacle Petroleum Incorporated,16651 Gemini Lane,,Huntington Beach,CA,92647,US,04/06/2026
40502304584,E85 - ETHANOL,,0.,,,0.,"13,626.93",MA7800GA240000081,Bulk Fuels - Pinnacle - Weekly DO,DO780025010204887,01/02/2025,V00000905922,Pinnacle Petroleum Incorporated,16651 Gemini Lane,,Huntington Beach,CA,92647,US,04/06/2026
54523,"Impact Tools, Air Powered (Not Road Building)",,0.,,,0.,"5,018.93",MA5000GC230000008,MONTHLY PROCARD DO,DO500025010204915,01/02/2025,FAS7005630,FASTENAL COMPANY,6006 Ben White Blvd.,Ste 100,AUSTIN,TX,78741,US,04/06/2026
03752,Novelties and Advertising Specialty Products,Novelties and Advertising Specialty Products,0.,,,0.,"7,764.00",MA5000NA230000044,Promo Items for Summit,DOM1100MAX216144,01/02/2025,V00000902630,World Of Promotions,3335 Main st,,Skokie,IL,60076,US,04/06/2026
48500,"JANITORIAL SUPPLIES, GENERAL LINE",,0.,,,0.,"42,419.02",MA5000GA240000006,FY24 MONTHLY PROCARD DO,DO740025010204916,01/02/2025,V00000964029,"Ferguson US Holdings, Inc",200 Park Central,,Georgetown,TX,78626,US,04/06/2026
8408427,"CAMERA, VIDEO, INCLUDING PARTS AND ACCESSORIES",EDELKRONE SOFT CASE f/HEADPLUS/PRO/REG - re: R201202-OMNIA,1.,EA,Each,44.6,44.60,,Edelkrone HeadPlus bundle (camera mount),PO870025010200609,01/02/2025,BHP6052500,B & H FOTO & ELECTRONICS CORP,420 9TH AVE,,NEW YORK,NY,10001-2404,US,04/06/2026
3456445,"GLASSES, SAFETY",Prescription Safety Eyewear  Rodney King,0.,,,0.,208.00,MA5000GA230000029,Prescription Safety Eyewear,DO220025010204894,01/02/2025,V00000969804,"PDS Consultants, Inc.",3801 Bishop Lane,,Louisville,KY,40218,US,04/06/2026
8408427,"CAMERA, VIDEO, INCLUDING PARTS AND ACCESSORIES",EDELKRONE VISION MODULE f/HEADPLUS V2/PRO/REG - re: R201202-OMNIA,1.,EA,Each,452.84,452.84,,Edelkrone HeadPlus bundle (camera mount),PO870025010200609,01/02/2025,BHP6052500,B & H FOTO & ELECTRONICS CORP,420 9TH AVE,,NEW YORK,NY,10001-2404,US,04/06/2026
8408427,"CAMERA, VIDEO, INCLUDING PARTS AND ACCESSORIES",EDELKRONE HeadPLUS PRO v3/REG - re: R201202-OMNIA,1.,EA,Each,"1,731.24","1,731.24",,Edelkrone HeadPlus bundle (camera mount),PO870025010200609,01/02/2025,BHP6052500,B & H FOTO & ELECTRONICS CORP,420 9TH AVE,,NEW YORK,NY,10001-2404,US,04/06/2026
7451413,"ASPHALTIC CONCRETE PAVEMENT, HOT MIX-COLD LAID, IN",CSM - 60 TONS OF COLD MIX   PLEASE DELIVERED TO THE NORTH SC   901 W KOENIG LANE  .  .  .  PLEASE SEND INVOICES TO AWNorthAP@austintexas.gov,0.,,,0.,"3,357.50",MA5000GA240000054,CSM - 60 TONS OF COLD MIX DELIVERED TO NORTH SC,DO220025010304956,01/03/2025,V00000929983,Asphalt Inc LLC,11675 Jollyville Road,Suite 150,Austin,TX,78759,US,04/06/2026
22034,"Logging Devices, Electronic (Long-Range Data Colle","RU-35 Recorder, Raven-Eye 2 sensor. Item: TW-RAV-KIT-005. Omicron Quote#42106. Send Invoices to Adrian.Sandoval@austintexas.gov and Caity.Fisher@austintexas.gov",1.,EA,Each,"15,565.","15,565.00",,Badger Telog Meter Kit,CT2200AW250103044,01/03/2025,V00000967401,"Omicron Controls, Inc.","27326 Robinson Rd, Ste 224",,Conroe,TX,77385,US,04/06/2026
55072,"Stripes and Legends, Plastic, Prefabricated, Refle",,100.,EA,Each,120.99,"12,099.00",MA2400GA190000061,2024-12-0064 / SMD Preform Legends,DO620025010304962,01/03/2025,ENN7077715,"ENNIS-FLINT, INC.","4161 Piedmont Pkwy, Suite 370",,Greensboro,NC,27410,US,04/06/2026
4055151,"OILS, INDUSTRIAL",(K)MOBIL GRS FM 222 10PK Q: 12129110 - FOR STOCK $372.45    Please send Invoices to: AWWALNUTAP@AUSTINTEXAS.GOV,0.,,,0.,372.46,MA2200GA220000062,MOBIL LITH SHC 100 13.4oz 10PK for Walnut Creek Q: 12129110,DO220025010304924,01/03/2025,ALL0141000,"Texas Enterprises, Inc",5005 E 7th St,,AUSTIN,TX,78702,US,04/06/2026
28586,"Transformers, Power Distribution (Incl. Fluid Fill","TRANSFORMER, DISTRIBUTION, SINGLE PHASE, PAD MOUNT, 100 KVA, 120/240 VOLT,  WITH BAYONET FUSING, PER SPEC E-1581    11May 18",9.,EA,Each,"10,250.","92,250.00",MA1100GA230000039,Critical materials supply arrangement (CMSA),DOM1100MAX216242,01/03/2025,KBS6049140,KBS ELECTRICAL DISTRIBUTORS INC,5811 Trade Center Drive,"Building 9, Suite 950",AUSTIN,TX,78744,US,04/06/2026
28029,Communications Cable,Item: CU-RU-35-CTS. Omicron quote# 42106. Send Invoices to Adrian.Sandoval@austintexas.gov and Caity.Fisher@austintexas.gov,1.,EA,Each,465.,465.00,,Badger Telog Meter Kit,CT2200AW250103044,01/03/2025,V00000967401,"Omicron Controls, Inc.","27326 Robinson Rd, Ste 224",,Conroe,TX,77385,US,04/06/2026
47599,"MEDICAL, DENTAL AND LAB SUPPLY PER PRICE AGREEMENT",BuyBoard Contract 704-23,0.,,,0.,"49,372.70",MA5000GC240000003,medical supplies - emergency patient care,DO930025010304920,01/03/2025,BOU8303524,BOUND TREE MEDICAL L L C,5000 Tuttle Crossing Blvd,,DUBLIN,OH,43016,US,04/06/2026
54523,"Impact Tools, Air Powered (Not Road Building)",,0.,,,0.,"264,045.60",MA5000GC230000008,MONTHLY PROCARD DO,DO500025010304934,01/03/2025,WWG2097000,W W GRAINGER INC,7950 Research Blvd. Ste 101,,AUSTIN,TX,78758-8425,US,04/06/2026
47599,"MEDICAL, DENTAL AND LAB SUPPLY PER PRICE AGREEMENT",This order is placed via MMCAP Contract # MMS{XXXXXXX} under {VENDOR NAME} City Contract MA 5000 GC230000005 and complies with the requirements set forth in 42 C.F.R.  1001.952(j).,0.,,,0.,"2,044.65",MA5000GC230000005,medical supplies - emergency patient care,DO930025010304923,01/03/2025,GEN2007500,MCKESSON MEDICAL-SURGICAL INC,"9954 Mayland Drive, Suite 4000",,Richmond,VA,22322,US,04/06/2026
54523,"Impact Tools, Air Powered (Not Road Building)",,0.,,,0.,"50,624.88",MA5000GC230000008,MONTHLY PROCARD DO,DO500025010304936,01/03/2025,MSC6003170,SID TOOL CO INC,121 Interpark Blvd Ste 1203,,SAN ANTONIO,TX,78216,US,04/06/2026
47599,"MEDICAL, DENTAL AND LAB SUPPLY PER PRICE AGREEMENT",BuyBoard Contract 704-23,0.,,,0.,"9,056.00",MA5000GC240000003,medical supplies - emergency patienr care,DO930025010304922,01/03/2025,LIF8309028,LIFE-ASSIST INC,11277 SUNRISE PARK DR,,RANCHO CORDOVA,CA,95742-6528,US,04/06/2026
80072,"Shoes, Safety Toe",,0.,,,0.,"5,231.05",MA5000GA240000018,FY25 MONTLY PROCARD DO,DO500025010304943,01/03/2025,SAF8312582,SAFETY SHOE DISTRIBUTORS L L P,7425 BURNET RD,,AUSTIN,TX,78757-2244,US,04/06/2026
3456445,"GLASSES, SAFETY","Rx for Jason Crawley, I&C    SEND INVOICES TO AWLOGTICSSC@AUSTINTEXAS.GOV.",1.,EA,Each,70.,70.00,MA5000GA230000029,"Jason Crawley, Rx Glasses",DO220025010304930,01/03/2025,V00000969804,"PDS Consultants, Inc.",3801 Bishop Lane,,Louisville,KY,40218,US,04/06/2026
48500,"JANITORIAL SUPPLIES, GENERAL LINE","Janitorial product for Stock WB  64075771001 -SUPPLIES, JANITORIAL - PAPER TOWEL, ENMOTION 89460, WHITE 10"" X 800' ROLL - 30* $64.25 = $1,927.50  66524100002 - SUPPLIES, JANITORIAL - LINER, TRASH BAG, 55 GALLON, 36 X 58"" - 100* $35.73 = $3,573.00  50525100001 - BLEACH 1 GAL CONT - 96* $13.09 = 1,256.65  66524100001 - SUPPLIES, JANITORIAL - LINER, TRASH BAG, 30 GALLON, 30 X 36"" - 100*$17.13 = $1,713.00",0.,,,0.,"8,469.32",MA5000GA240000006,Janitorial product for Stock WB,DO220025010304929,01/03/2025,V00000964029,"Ferguson US Holdings, Inc",200 Park Central,,Georgetown,TX,78626,US,04/06/2026
7201329,"PUMPS, CAVITY, PROGRESSIVE, AND PARTS AND ACCESSORIES",Hornsby Moyno Cavity Pump parts WO#381731 OPR2024  .  .  Please send invoices to: AWHornsbyAP@austintexas.gov,0.,,,0.,131.00,MA2200GA240000069,Hornsby Moyno Cavity Pump parts WO#381731 OPR2024,DO220025010304926,01/03/2025,VS0000029406,"Liberty Process Equipment, Inc",2525 South Clearbrook Drive,,Arlington Heights,IL,60005,US,04/06/2026
55088440005,LED Amber Arrow with Molex connectors,"Buyboard Proposal No. 703-23  12"" Amber Arrow",210.,EA,Each,48.,"10,080.00",,Arrow LED Traffic Signals,CT620025010300141,01/03/2025,CON1261250,CONSOLIDATED TRAFFIC CONTROLS INC,INC,PO BOX 151837,ARLINGTON,TX,76015-1837,US,04/06/2026
2695657,MAGNESIUM HYDROXIDE,Please send Invoices to: AWREMOTEFACILITIESAP@AUSTINTEXAS.GOV,17.,MO,Month,"5,000.","85,000.00",MA2200GA250000007,Quarterly DO for remote facilities rent,DO220025010304954,01/03/2025,V00000998020,Garrison Minerals LLC,PO Box 2940,,Denver,CO,80201,US,04/06/2026
55072,"Stripes and Legends, Plastic, Prefabricated, Refle",,100.,EA,Each,63.5,"6,350.00",MA2400GA190000061,2024-12-0064 / SMD Preform Legends,DO620025010304962,01/03/2025,ENN7077715,"ENNIS-FLINT, INC.","4161 Piedmont Pkwy, Suite 370",,Greensboro,NC,27410,US,04/06/2026
7201329,"PUMPS, CAVITY, PROGRESSIVE, AND PARTS AND ACCESSORIES",.,0.,,,0.,232.00,MA2200GA240000069,Hornsby Moyno Cavity Pump parts WO#381731 OPR2024,DO220025010304926,01/03/2025,VS0000029406,"Liberty Process Equipment, Inc",2525 South Clearbrook Drive,,Arlington Heights,IL,60005,US,04/06/2026
55072,"Stripes and Legends, Plastic, Prefabricated, Refle",,180.,EA,Each,79.8,"14,364.00",MA2400GA190000061,2024-12-0064 / SMD Preform Legends,DO620025010304962,01/03/2025,ENN7077715,"ENNIS-FLINT, INC.","4161 Piedmont Pkwy, Suite 370",,Greensboro,NC,27410,US,04/06/2026
7201329,"PUMPS, CAVITY, PROGRESSIVE, AND PARTS AND ACCESSORIES",.,0.,,,0.,15.00,MA2200GA240000069,Hornsby Moyno Cavity Pump parts WO#381731 OPR2024,DO220025010304926,01/03/2025,VS0000029406,"Liberty Process Equipment, Inc",2525 South Clearbrook Drive,,Arlington Heights,IL,60005,US,04/06/2026
7201329,"PUMPS, CAVITY, PROGRESSIVE, AND PARTS AND ACCESSORIES",.,0.,,,0.,"2,549.00",MA2200GA240000069,Hornsby Moyno Cavity Pump parts WO#381731 OPR2024,DO220025010304926,01/03/2025,VS0000029406,"Liberty Process Equipment, Inc",2525 South Clearbrook Drive,,Arlington Heights,IL,60005,US,04/06/2026
47599,"MEDICAL, DENTAL AND LAB SUPPLY PER PRICE AGREEMENT",BuyBoard Contract 704-23,0.,,,0.,"22,332.19",MA5000GC240000003,medical supplies - emergency patient care,DO930025010304921,01/03/2025,HEN8311513,HENRY SCHEIN INC,135 DURYEA RD E270,,MELVILLE,NY,11747-3834,US,04/06/2026
7201329,"PUMPS, CAVITY, PROGRESSIVE, AND PARTS AND ACCESSORIES",.,0.,,,0.,716.00,MA2200GA240000069,Hornsby Moyno Cavity Pump parts WO#381731 OPR2024,DO220025010304926,01/03/2025,VS0000029406,"Liberty Process Equipment, Inc",2525 South Clearbrook Drive,,Arlington Heights,IL,60005,US,04/06/2026
54523,"Impact Tools, Air Powered (Not Road Building)",,0.,,,0.,"118,219.91",MA5000GC200000007,FY25 MONTLY PROCARD DO,DO740025010304945,01/03/2025,VC0000101405,HOME DEPOT USA INC,STORE SUPPORT CENTER,"2455 PACES FERRY RD, NW",ATLANTA,GA,30339,US,04/06/2026
47599,"MEDICAL, DENTAL AND LAB SUPPLY PER PRICE AGREEMENT","This order is placed via MMCAP Contract # MMS{XXXXXXX} under {VENDOR NAME} City Contract MA 5000 GC230000005 and complies with the requirements set forth in 42 C.F.R.  1001.952(j).""    3 boxes of Droperidol # 5956172",0.,,,0.,825.93,MA5000GC230000005,"Droperidol, 2.5mg/mL, 2mL Vial",DO930025010304925,01/03/2025,VC0000102509,"Cardinal Health, Inc",7000 CARDINAL PLACE,,DUBLIN,OH,43017,US,04/06/2026
4055151,"OILS, INDUSTRIAL",CHEVRON SRI GRS 10PK Q: 12129110 - FOR STOCK $145.05    Please send Invoices to: AWWALNUTAP@AUSTINTEXAS.GOV,0.,,,0.,145.06,MA2200GA220000062,MOBIL LITH SHC 100 13.4oz 10PK for Walnut Creek Q: 12129110,DO220025010304924,01/03/2025,ALL0141000,"Texas Enterprises, Inc",5005 E 7th St,,AUSTIN,TX,78702,US,04/06/2026
54523,"Impact Tools, Air Powered (Not Road Building)",Job Site Lights,0.,,,0.,"5,539.96",MA5000GC190000007,Job Site Lights,DO220025010304952,01/03/2025,WWG2097000,W W GRAINGER INC,7950 Research Blvd. Ste 101,,AUSTIN,TX,78758-8425,US,04/06/2026
7201329,"PUMPS, CAVITY, PROGRESSIVE, AND PARTS AND ACCESSORIES",.,0.,,,0.,13.00,MA2200GA240000069,Hornsby Moyno Cavity Pump parts WO#381731 OPR2024,DO220025010304926,01/03/2025,VS0000029406,"Liberty Process Equipment, Inc",2525 South Clearbrook Drive,,Arlington Heights,IL,60005,US,04/06/2026
61500,"OFFICE SUPPLIES, GENERAL",office supplies,0.,,,0.,"38,909.27",MA5000GC200000004,FY25 MONTHLY PROCARD DO,DO740025010304944,01/03/2025,VS0000022603,"Summus Industries, Inc.",77 SUGAR CREEK CENTER BLVD STE 420,,SUGAR LAND,TX,77478,US,04/06/2026
2007215,CLOTHING: POLICE UNIFORMS,,0.,,,0.,"8,256.00",,Tactical Pants and Winter Jackets for EMS,CT930025010200138,01/03/2025,V00000980374,"ACK Enterprises, Inc","130 West 700 South, Bldg. E",,Smithfield,UT,84335,US,04/06/2026
55072,"Stripes and Legends, Plastic, Prefabricated, Refle",,120.,EA,Each,95.15,"11,418.00",MA2400GA190000061,2024-12-0064 / SMD Preform Legends,DO620025010304962,01/03/2025,ENN7077715,"ENNIS-FLINT, INC.","4161 Piedmont Pkwy, Suite 370",,Greensboro,NC,27410,US,04/06/2026
2695657,MAGNESIUM HYDROXIDE,AWREMOTEFACILITIESAP@AUSTINTEXAS.GOV,0.,,,0.,"15,564.52",MA2200GA250000007,Quarterly DO for remote facilities rent,DO220025010304954,01/03/2025,V00000998020,Garrison Minerals LLC,PO Box 2940,,Denver,CO,80201,US,04/06/2026
80072,"Shoes, Safety Toe",,0.,,,0.,"15,908.07",MA5000GA240000018,MONTHLY PROCARD DO,DO500025010304941,01/03/2025,RED8315105,RED WING BRANDS OF AMERICA INC,Red Wing Shoe Company,P.O. Box 844329,Dallas,TX,75284-4329,US,04/06/2026
55072,"Stripes and Legends, Plastic, Prefabricated, Refle",,250.,EA,Each,42.73,"10,682.50",MA2400GA190000061,2024-12-0064 / SMD Preform Legends,DO620025010304962,01/03/2025,ENN7077715,"ENNIS-FLINT, INC.","4161 Piedmont Pkwy, Suite 370",,Greensboro,NC,27410,US,04/06/2026
55088440004,LED Red Arrow with Molex connectors,"Buyboard Proposal No. 703-23  12"" Red Arrow",105.,EA,Each,48.,"5,040.00",,Arrow LED Traffic Signals,CT620025010300141,01/03/2025,CON1261250,CONSOLIDATED TRAFFIC CONTROLS INC,INC,PO BOX 151837,ARLINGTON,TX,76015-1837,US,04/06/2026
4055151,"OILS, INDUSTRIAL",MOBIL LITH SHC 100 13.4oz 10PK for Walnut Creek Q: 12129110 - FOR STOCK  $278.49    Please send Invoices to: AWWALNUTAP@AUSTINTEXAS.GOV,0.,,,0.,278.50,MA2200GA220000062,MOBIL LITH SHC 100 13.4oz 10PK for Walnut Creek Q: 12129110,DO220025010304924,01/03/2025,ALL0141000,"Texas Enterprises, Inc",5005 E 7th St,,AUSTIN,TX,78702,US,04/06/2026
55088440006,LED Green Arrow with Molex connectors,"Buyboard Proposal No. 703-23  12"" Green Arrow",105.,EA,Each,48.,"5,040.00",,Arrow LED Traffic Signals,CT620025010300141,01/03/2025,CON1261250,CONSOLIDATED TRAFFIC CONTROLS INC,INC,PO BOX 151837,ARLINGTON,TX,76015-1837,US,04/06/2026
7201329,"PUMPS, CAVITY, PROGRESSIVE, AND PARTS AND ACCESSORIES",.,0.,,,0.,169.00,MA2200GA240000069,Hornsby Moyno Cavity Pump parts WO#381731 OPR2024,DO220025010304926,01/03/2025,VS0000029406,"Liberty Process Equipment, Inc",2525 South Clearbrook Drive,,Arlington Heights,IL,60005,US,04/06/2026
55072,"Stripes and Legends, Plastic, Prefabricated, Refle",,160.,EA,Each,132.91,"21,265.60",MA2400GA190000061,2024-12-0064 / SMD Preform Legends,DO620025010304962,01/03/2025,ENN7077715,"ENNIS-FLINT, INC.","4161 Piedmont Pkwy, Suite 370",,Greensboro,NC,27410,US,04/06/2026
2695657,MAGNESIUM HYDROXIDE,AWREMOTEFACILITIESAP@AUSTINTEXAS.GOV,9.,SITE,Site,"10,000.","90,000.00",MA2200GA250000007,Quarterly DO for remote facilities rent,DO220025010304954,01/03/2025,V00000998020,Garrison Minerals LLC,PO Box 2940,,Denver,CO,80201,US,04/06/2026
4651415,"DEFIBRILLATOR, EXTERNAL, AUTOMATIC (AED), INCLUDING PARTS AN","BuyBoard Contract 704-23.    10 ea Thermometer, Infrared, battery powered # NT3000US @ $75.00 ea",0.,,,0.,750.00,MA5000GC230000014,"Thermometer, Infrared, battery powered",DO930025010304927,01/03/2025,V00000988407,"SafetyMed, LLC",5773 Woodway Dr Ste 214,,Houston,TX,77057,US,04/06/2026
